ds,y
2022-01-01,109
2022-01-01,355
2022-01-01,329
2022-01-01,475
2022-01-01,227
2022-01-01,135
2022-01-01,280
2022-01-01,180
2022-01-01,388
2022-01-01,419
2022-01-01,177
2022-01-01,311
2022-01-01,510
2022-01-01,410
2022-01-02,360
2022-01-02,107
2022-01-02,215
2022-01-02,128
2022-01-02,299
2022-01-02,277
2022-01-02,57
2022-01-02,462
2022-01-02,371
2022-01-02,246
2022-01-02,257
2022-01-02,423
2022-01-02,510
2022-01-02,368
2022-01-03,218
2022-01-03,283
2022-01-03,204
2022-01-03,167
2022-01-03,47
2022-01-03,274
2022-01-03,189
2022-01-03,116
2022-01-03,329
2022-01-03,269
2022-01-03,193
2022-01-03,147
2022-01-03,230
2022-01-03,163
2022-01-03,223
2022-01-04,276
2022-01-04,172
2022-01-04,113
2022-01-04,153
2022-01-04,224
2022-01-04,155
2022-01-04,110
2022-01-04,210
2022-01-04,357
2022-01-04,323
2022-01-04,215
2022-01-04,210
2022-01-04,276
2022-01-05,261
2022-01-05,187
2022-01-05,328
2022-01-05,230
2022-01-05,172
2022-01-05,209
2022-01-05,309
2022-01-05,117
2022-01-05,65
2022-01-05,267
2022-01-05,245
2022-01-05,141
2022-01-05,170
2022-01-05,158
2022-01-06,340
2022-01-06,240
2022-01-06,166
2022-01-06,152
2022-01-06,175
2022-01-06,248
2022-01-06,320
2022-01-06,212
2022-01-06,238
2022-01-06,168
2022-01-06,178
2022-01-06,123
2022-01-06,224
2022-01-07,181
2022-01-07,347
2022-01-07,195
2022-01-07,241
2022-01-07,98
2022-01-07,258
2022-01-07,321
2022-01-07,140
2022-01-07,164
2022-01-07,211
2022-01-07,123
2022-01-07,364
2022-01-07,363
2022-01-07,420
2022-01-08,303
2022-01-08,358
2022-01-08,100
2022-01-08,173
2022-01-08,318
2022-01-08,108
2022-01-08,249
2022-01-08,41
2022-01-08,235
2022-01-08,442
2022-01-08,367
2022-01-08,257
2022-01-08,381
2022-01-08,235
2022-01-08,155
2022-01-09,334
2022-01-09,42
2022-01-09,269
2022-01-09,321
2022-01-09,171
2022-01-09,219
2022-01-09,392
2022-01-09,360
2022-01-09,295
2022-01-09,398
2022-01-09,143
2022-01-09,116
2022-01-09,269
2022-01-09,214
2022-01-09,123
2022-01-10,254
2022-01-10,58
2022-01-10,97
2022-01-10,117
2022-01-10,134
2022-01-10,190
2022-01-10,212
2022-01-10,142
2022-01-10,194
2022-01-10,208
2022-01-10,186
2022-01-10,247
2022-01-10,194
2022-01-10,112
2022-01-11,140
2022-01-11,189
2022-01-11,251
2022-01-11,199
2022-01-11,251
2022-01-11,147
2022-01-11,262
2022-01-11,138
2022-01-11,99
2022-01-11,123
2022-01-11,284
2022-01-11,233
2022-01-11,180
2022-01-12,183
2022-01-12,232
2022-01-12,279
2022-01-12,266
2022-01-12,135
2022-01-12,116
2022-01-12,181
2022-01-12,211
2022-01-12,156
2022-01-12,244
2022-01-12,171
2022-01-12,175
2022-01-12,85
2022-01-13,103
2022-01-13,129
2022-01-13,193
2022-01-13,212
2022-01-13,278
2022-01-13,187
2022-01-13,272
2022-01-13,198
2022-01-13,157
2022-01-13,284
2022-01-13,172
2022-01-13,151
2022-01-13,174
2022-01-13,152
2022-01-14,352
2022-01-14,373
2022-01-14,103
2022-01-14,203
2022-01-14,279
2022-01-14,173
2022-01-14,251
2022-01-14,66
2022-01-14,53
2022-01-14,198
2022-01-14,250
2022-01-14,228
2022-01-14,351
2022-01-14,107
2022-01-14,171
2022-01-15,192
2022-01-15,266
2022-01-15,42
2022-01-15,294
2022-01-15,161
2022-01-15,126
2022-01-15,384
2022-01-15,364
2022-01-15,198
2022-01-15,348
2022-01-15,406
2022-01-15,266
2022-01-15,252
2022-01-15,352
2022-01-15,119
2022-01-16,282
2022-01-16,297
2022-01-16,179
2022-01-16,269
2022-01-16,337
2022-01-16,95
2022-01-16,98
2022-01-16,86
2022-01-16,187
2022-01-16,293
2022-01-16,311
2022-01-16,377
2022-01-16,40
2022-01-16,372
2022-01-16,148
2022-01-17,285
2022-01-17,152
2022-01-17,104
2022-01-17,218
2022-01-17,180
2022-01-17,148
2022-01-17,195
2022-01-17,166
2022-01-17,204
2022-01-17,105
2022-01-17,180
2022-01-17,212
2022-01-17,182
2022-01-18,145
2022-01-18,178
2022-01-18,114
2022-01-18,101
2022-01-18,205
2022-01-18,120
2022-01-18,266
2022-01-18,209
2022-01-18,188
2022-01-18,48
2022-01-18,168
2022-01-18,211
2022-01-18,184
2022-01-18,193
2022-01-19,206
2022-01-19,251
2022-01-19,111
2022-01-19,184
2022-01-19,226
2022-01-19,180
2022-01-19,85
2022-01-19,156
2022-01-19,206
2022-01-19,196
2022-01-19,190
2022-01-19,172
2022-01-19,153
2022-01-20,254
2022-01-20,139
2022-01-20,288
2022-01-20,183
2022-01-20,152
2022-01-20,112
2022-01-20,212
2022-01-20,188
2022-01-20,267
2022-01-20,115
2022-01-20,196
2022-01-20,199
2022-01-20,164
2022-01-21,152
2022-01-21,51
2022-01-21,271
2022-01-21,313
2022-01-21,186
2022-01-21,233
2022-01-21,177
2022-01-21,127
2022-01-21,235
2022-01-21,297
2022-01-21,132
2022-01-21,110
2022-01-21,344
2022-01-21,356
2022-01-21,208
2022-01-22,288
2022-01-22,170
2022-01-22,350
2022-01-22,282
2022-01-22,383
2022-01-22,273
2022-01-22,116
2022-01-22,234
2022-01-22,287
2022-01-22,489
2022-01-22,154
2022-01-22,282
2022-01-22,131
2022-01-22,444
2022-01-23,232
2022-01-23,358
2022-01-23,107
2022-01-23,247
2022-01-23,220
2022-01-23,313
2022-01-23,401
2022-01-23,111
2022-01-23,342
2022-01-23,397
2022-01-23,135
2022-01-23,62
2022-01-23,159
2022-01-23,269
2022-01-23,401
2022-01-24,128
2022-01-24,120
2022-01-24,220
2022-01-24,170
2022-01-24,176
2022-01-24,268
2022-01-24,141
2022-01-24,90
2022-01-24,223
2022-01-24,117
2022-01-24,221
2022-01-24,161
2022-01-24,149
2022-01-24,159
2022-01-25,294
2022-01-25,179
2022-01-25,171
2022-01-25,190
2022-01-25,88
2022-01-25,159
2022-01-25,221
2022-01-25,116
2022-01-25,252
2022-01-25,176
2022-01-25,116
2022-01-25,239
2022-01-25,220
2022-01-25,68
2022-01-26,262
2022-01-26,187
2022-01-26,183
2022-01-26,177
2022-01-26,206
2022-01-26,142
2022-01-26,101
2022-01-26,111
2022-01-26,218
2022-01-26,257
2022-01-26,208
2022-01-26,116
2022-01-26,246
2022-01-26,169
2022-01-27,131
2022-01-27,200
2022-01-27,189
2022-01-27,303
2022-01-27,262
2022-01-27,299
2022-01-27,204
2022-01-27,102
2022-01-27,71
2022-01-27,191
2022-01-27,285
2022-01-27,222
2022-01-27,229
2022-01-27,190
2022-01-28,241
2022-01-28,297
2022-01-28,439
2022-01-28,432
2022-01-28,142
2022-01-28,120
2022-01-28,239
2022-01-28,240
2022-01-28,426
2022-01-28,23
2022-01-28,303
2022-01-28,127
2022-01-28,224
2022-01-28,171
2022-01-28,208
2022-01-28,118
2022-01-29,212
2022-01-29,293
2022-01-29,268
2022-01-29,441
2022-01-29,215
2022-01-29,328
2022-01-29,168
2022-01-29,360
2022-01-29,473
2022-01-29,343
2022-01-29,423
2022-01-29,383
2022-01-29,261
